Brand,Product Name,Price,Product Rating,URL
Cosrx,COSRX - OIL-FREE ULTRA-MOISTURIZING LOTION 100ml,"PKR 6,494.70",4.74,https://judge.me/reviews/korean-beauty-s.myshopify.com/products/cosrx-oil-free-ultra-moisturizing-lotion-100ml
Cosrx,[COSRX] Salicylic Acid Daily Gentle Cleanser 150ml,"PKR 2,230.83",4.24,https://judge.me/reviews/blooming-koco.myshopify.com/products/cosrx-salicylic-acid-daily-gentle-cleanser-150ml
Cosrx,COSRX Aloe Soothing Sun Cream SPF50+ PA+++ (50ml),"PKR 5,107.56",5.00,https://judge.me/reviews/skincupid8.myshopify.com/products/cosrx-aloe-soothing-sun-cream-spf50-pa-50ml
Cosrx,[COSRX] Low pH Good Morning Gel Cleanser 150ml,"PKR 2,230.83",4.53,https://judge.me/reviews/blooming-koco.myshopify.com/products/cosrx-low-ph-good-morning-gel-cleanser
Cosrx,COSRX Advanced Snail 96 Mucin Power Essence (100ml),"PKR 6,639.82",4.92,https://judge.me/reviews/skincupid8.myshopify.com/products/cosrx-advanced-snail-96-mucin-power-essence-100ml
The%20Body%20Shop,The Body Shop Seaweed Oil-Control Face Wash 125ml,"PKR 4,299.00",5.00,https://judge.me/reviews/729da9.myshopify.com/products/the-body-shop-seaweed-deep-cleansing-gel-wash-125ml
The%20Body%20Shop,The Body Shop Body Yogurt - Almond Milk,"PKR 4,990.00",1.00,https://judge.me/reviews/medoget.myshopify.com/products/the-body-shop-body-yogurt-almond-milk
The%20Body%20Shop,The Body Shop Himalayan Charcoal 15Ml,"PKR 2,600.00",5.00,https://judge.me/reviews/highfy-pk.myshopify.com/products/the-body-shop-himalayan-charcoal-15ml
The%20Body%20Shop,The Body Shop Himalayan Charcoal 75Ml,"PKR 5,489.00",4.50,https://judge.me/reviews/highfy-pk.myshopify.com/products/the-body-shop-himaliyan-charcol-75ml
The%20Body%20Shop,The Body Shop Vitamin C Liquid Peel,"PKR 7,745.19",5.00,https://judge.me/reviews/esckateskitchen.myshopify.com/products/the-body-shop-vitamin-c-liquid-peel
The%20Body%20Shop,The Body Shop Vitamin C Glow Boosting Moisturiser,"PKR 7,490.00",5.00,https://judge.me/reviews/medoget.myshopify.com/products/the-body-shop-vitamin-c-glow-boosting-moisturiser
The%20Body%20Shop,The Body Shop Drops of Youth™ Concentrate,"From PKR 7,250.00",5.00,https://judge.me/reviews/medoget.myshopify.com/products/the-body-shop-drops-of-youth%E2%84%A2-concentrate
