Brand,Product Name,Category,Price,skin type,Benefit,Product Rating,total ratings,URL,Ingredients
The INKEY List,Tranexamic Acid Hyperpigmentation Treatment,Face Serums,$17 ,All,"Helps hyperpigmentation, uneven skin tone, and dark spots",4.2,122,https://www.amazon.com/Inkey-List-Tranexamic-Acid-Serum/dp/B0B68Z9RCL,"['Aqua (Water/ Eau), Butylene Glycol,Glycerin, Ascorbyl Glucoside,Tranexamic Acid, Euterpe OleraceaFruit Extract, 1-Methylhydantoin-2-Imide, Sodium AcrylatesCopolymer, Phenoxyethanol,Carbomer, Sodium Hydroxide,Cetearyl Olivate, Benzyl Alcohol,Sorbitan Olivate, HydroxyethylAcrylate/Sodium AcryloyldimethylTaurate Copolymer, Lecithin,Squalane, Ethylhexylglycerin,Sodium Gluconate, Polysorbate 60,Dehydroacetic Acid, LactobacillusFerment, Sorbitan Isostearate.']"
The INKEY List,Polyhydroxy Acid (PHA) Gentle Exfoliating Toner,Toners,$14 ,"Sensitive, All","Gently improve skin texture, Helps uneven skin tone and skin texture, and dull skin",4.4,350,https://www.amazon.com/INKEY-List-Polyhydroxy-Exfoliant-Sensitive/dp/B09PP2VLGP,"['Water (Aqua / Eau), Propanediol, Gluconolactone, Niacinamide, Pentylene Glycol, Glycerin, Aloe Barbadensis Leaf Juice, Potassium Sorbate, Sodium Benzoate, Ppg-26-Buteth-26, Peg-40 Hydrogenated Castor Oil, 1,2-Hexanediol, Caprylyl Glycol, Ethylhexylglycerin, Citric Acid, Sodium Hydroxide.']"
The INKEY List,Beta Hydroxy Acid (BHA) Blemish + Blackhead Serum,Face Serums,$10 ,"Normal, Combination, Oily","Cleansing,Hydrating,Soothing, helping to unclog pores, gently exfoliate",4.2,171,https://www.amazon.com/INKEY-List-Hydroxy-Exfoliant-Blackheads/dp/B09PP2TR67,"['Water, Propanediol, Betaine, Salicylic Acid, Sodium Hyaluronate, Zinc PCA, Phenoxyethanol, Hydroxyethylcellulose, Maltodextrin, Sodium Hydroxide, Ethylhexylglycerin, Biosaccharide Gum-1, Trisodium Ethylenediamine Disuccinate.']"
The INKEY List,Bakuchiol Retinol Alternative Moisturizer,Face Serums,$15 ,"All, Aging","helps to reduce the appearance of fine lines and wrinkles and even skin tone, antioxidant, hydrate and nourish",4.1,22,https://www.amazon.com/INKEY-List-Bakuchiol-Moisturizer/dp/B0C2JP2LCB,"['Water (Aqua), Squalane, Glycerin, Propanediol, Plukenetia Volubilis Seed Oil (Sacha Inchi oil), Dicaprylyl Carbonate, Bakuchiol, Phenoxyethanol, Sodium Caproyl Prolinate, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Carbomer, Sodium Hydroxide, Ethylhexylglycerin, Sodium Stearoyl Glutamate, Polysorbate 60, Phytic Acid, Glyceryl Polyacrylate, Sorbitan Isostearate, Tocopherol.']"
The INKEY List,Fulvic Acid Brightening Cleanser,Face Wash & Cleansers,$13 ,All,"Cleansing, soothes and reduces hyperpigmentation, levels out skin tone, boosts skin radiance",4.3,1010,https://www.amazon.com/INKEY-List-Brightening-Cleanser-Exfoliates/dp/B09235WDY6,"['Water (Aqua/Eau), Coco-Glucoside, Glycerin, Butylene Glycol, Xanthan Gum, Phenoxyethanol, Benzyl Alcohol, Aloe Barbadensis Leaf Juice, Caprylic/Capric Triglyceride, Peat, Glycyrrhiza Glabra (Licorice) Root Extract, PEG-200 Hydrogenated Glyceryl Palmate, PEG-7 Glyceryl Cocoate, Disodium EDTA, Helianthus Annuus (Sunflower) Seed Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Dehydroacetic Acid, Terminalia Ferdinandiana Fruit Extract, Potassium Sorbate.']"
The INKEY List,Mini Fulvic Acid Brightening Cleanser,Face Wash & Cleansers,$7 ,All,"Cleansing, soothes and reduces hyperpigmentation, levels out skin tone, boosts skin radiance",4.3,1010,https://www.amazon.com/INKEY-List-Brightening-Cleanser-Exfoliates/dp/B0B2KNHN59?th=1,"['Water (Aqua/Eau), Coco-Glucoside, Glycerin, Butylene Glycol, Xanthan Gum, Phenoxyethanol, Benzyl Alcohol, Aloe Barbadensis Leaf Juice, Caprylic/Capric Triglyceride, Peat, Glycyrrhiza Glabra (Licorice) Root Extract, PEG-200 Hydrogenated Glyceryl Palmate, PEG-7 Glyceryl Cocoate, Disodium EDTA, Helianthus Annuus (Sunflower) Seed Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Dehydroacetic Acid, Terminalia Ferdinandiana Fruit Extract, Potassium Sorbate.']"
The INKEY List,Ceramide Hydrating Night Treatment,Face Serums,$14 ,Dry,locks in moisture and restores the skins barrier leaving you with healthy supple skin,4.4,331,https://www.amazon.com/Inkey-List-Ceramide-Night-Treatment/dp/B09N9Z2T94,"['Water, Butylene Glycol, Glycerin, Sodium Hyaluronate, Simmondsia Chinensis (Jojoba) Seed Oil, Carbomer, Phenoxyethanol, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Benzyl Alcohol, Squalane, Sodium Lauroyl Lactylate, Sodium PCA, Sodium Hydroxide, Sodium Stearoyl Glutamate, Sodium Lactate, Arginine, Aspartic Acid, Ethylhexylglycerin, Sodium Gluconate, PCA, Polysorbate 60, Dehydroacetic Acid, Ceramide NP, Glycine, Alanine, Sorbitan Isostearate, Ceramide AP, Phytosphingosine, Serine, Cholesterol, Valine, Xanthan Gum, Isoleucine, Proline, Threonine, Histidine, Phenylalanine, Ceramide EOP.']"
The INKEY List,"Vitamin B, C, and E Moisturizer",Moisturizers,$10 ,All,"Cleansing,Hydrating,Moisturizing,Smoothening,Soothing, increases radiance",4.5,825,https://www.amazon.com/INKEY-List-Vitamin-Moisturizer-Cruelty-Free/dp/B0C2JNQ679,"['Aqua (Water/Eau), Glycerin, Glyceryl Stearate SE, Cetearyl Alcohol, Caprylic/Capric Triglyceride, Cocos Nucifera (Coconut) Oil, Stearic Acid, Phenoxyethanol, Benzyl Alcohol, Carbomer, Sodium Hydroxide, Niacinamide, Panthenol, Sodium Ascorbyl Phosphate, Sodium Hyaluronate, Tocopheryl Acetate, Ethylhexylglycerin, Dehydroacetic Acid, Lecithin, Trisodium Ethylenediamine Disuccinate, Ascorbyl Palmitate, Tocopherol, Helianthus Annuus (Sunflower) Seed Oil.']"
The INKEY List,Glycolic Acid Exfoliating Toner,Toners,$14 ,"Normal, Combination, Oily","Helps enlarged pores, uneven skin tone and texture, and dull skin",4.3,1254,https://www.amazon.com/INKEY-List-Glycolic-Exfoliator-Reduce/dp/B07GLHC5J9,"['Water, Glycolic Acid, Propanediol, Hamamelis Virginiana (Witch Hazel) Water, Sodium Hydroxide, Butylene Glycol, Phenoxyethanol, Alcohol, PPG-26-Buteth-26, Betaine, PEG-40 Hydrogenated Castor Oil, Boerhavia Diffusa Root Extract, Ethylhexylglycerin, Trisodium Ethylenediamine Disuccinate.']"
The INKEY List,Kaolin Mask,Face Masks,$13.30 ,"All, Oily","Anti Acne, Pore Treatment",4.3,628,https://www.amazon.co.uk/INKEY-List-Removing-Impurities-Absorbing/dp/B07GLSXHL7,"['Water, Kaolin, Glycerin, Caprylic/Capric Triglyceride, Cetearyl Alcohol, Cetearyl Olivate, Helianthus Annuus (Sunflower) Seed Oil, Magnesium Aluminum Silicate, Phenoxyethanol, Sorbitan Olivate, Glyceryl Stearate SE, Stearic Acid, Benzyl Alcohol, Aloe Barbadensis Leaf Juice Powder, Sodium Stearoyl Glutamate, Centella Asiatica Leaf Extract, Ethylhexylglycer-in, Tocopherol, Tocopheryl Acetate, Xanthan Gum, Chondrus Crispus (Carrageenan) Extract, Dehydroacetic Acid, Trisodium Ethylenediamine Disuccinate, Lithothamnium Calcarum Extract, Sodium Hydroxide, Potassium Sorbate, Sodium Benzoate.']"
