Brand,Product Name,Category,All Ingredients,Skin Type,Price,Benefits,Rating,Total Ratings,Product URL 
COSRX,Refresh ABC Daily Toner (AHA BHA Vitamin C),Toner,"Actinidia Chinensis (Kiwi) Fruit Extract, Hylocereus Undatus Fruit Extract, Salix Alba (Willow) Bark Water, Pyrus Malus (Apple) Fruit Water, Butylene Glycol, Niacinamide, 1,2-Hexanediol, Ethyl Hexanediol, Sodium Lactate, Water, Glycolic Acid, Allantoin, Panthenol, Adenosine, Betaine Salicylate, Ascorbyl Glucoside",All,20.33,"Skin-Revitalizing, Remove accumulated dead skin cells,  Boost your daily skin condition, Minimize irritation",4.6,494 ratings,https://www.amazon.com/COSRX-Refresh-Daily-Toner-150ml/dp/B089PTWZCS
COSRX,Lip Sleep - Balancium Ceramide Lip Butter Sleeping Mask,Lip Care,"Bis-Diglyceryl Polyacyladipate-2, Butyrospermum Parkii (Shea) Butter, Cocos Nucifera (Coconut) Oil, Ricinus Communis (Castor) Seed Oil, Polyglyceryl-3 Distearate, Phytosteryl/Isostearyl/Cetyl/Stearyl/Behenyl Dimer Dilinoleate, Simmondsia Chinensis (Jojoba) Seed Oil, Caprylic/Capric Triglyceride, Beeswax, Ozokerite, Polyethylene, Mangifera Indica (Mango) Seed Butter, Euphorbia Cerifera (Candelilla) Wax, Glyceryl Stearate Citrate, Ethylhexylglycerin, Glycerin, Ceramide NP, Phytosphingosine",Dry lips,19,"deep and rich moisturization for lips, Does not feel sticky, colorless, unscented",4.3,457 ratings,https://www.amazon.com/COSRX-Testing-Free-Artificial-Fragrance-Free-Parabens-Free/dp/B098D5WGVY
COSRX,Lip Plump - Refresh AHA BHA Vitamin C Lip Plumper,Lip Care,"Petrolatum, Hydrogenated Polyisobutene, Polyisobutene, Phytosteryl/Isostearyl/Cetyl/Stearyl/Behenyl Dimer Dilinoleate, Butyrospermum Parkii (Shea) Butter, Diisostearyl Malate, Ethylene/Propylene/Styrene Copolymer, Sorbitan Sesquioleate, Microcrystalline Wax, Vanillyl Butyl Ether ,Butylene/Ethylene/Styrene Copolymer, Ethylhexylglycerin, Water, Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate, Butylene Glycol, Melia Azadirachta Leaf Extract, Melia Azadirachta Flower Extract, Coccinia Indica Fruit Extract, Amber Powder, Mentha Piperita (Peppermint) Leaf Extract, Solanum Melongena (Eggplant) Fruit Extract, Ocimum Sanctum Leaf Extract, Curcuma Longa (Turmeric) Root Extract, Corallina Officinalis Extract, Moringa Oleifera Seed Oil, Magnesium Ascorbyl Phosphate, Citric Acid, Betaine Salicylate, Anemarrhena Asphodeloides Root Extract",Dry lips,19," gently remove dead skin cells from the lips, enhance health and vitality of lips, achieve plump lips anywhere",4.2,264 ratings,https://www.amazon.com/COSRX-Testing-Free-Artificial-Fragrance-Free-Parabens-Free/dp/B098D1D38T
COSRX,Vitamin E Vitalizing Sunscreen,Sunscreen,"Watet / Aqua / Eau, Propanediol, Homosalate, Octocrylene, Ethylhexyl Salicylate(Octisalate), Butyloctyl Salicylate, Butyl Methoxydibenzoylmethane(Avobenzone), Diphenylsiloxy phenyl trimethicone, Dimethicone, VP/Eicosene copolymer, Silica, Trisiloxane, Cyclopentasiloxane, Trimethylsiloxysilicate, 1,2-Hexanediol, Behenyl alcohol, Glyceryl stearate, PEG-100 stearate, C14-22 alcohols, Cetyl alcohol, Potassium cetyl phosphate, Polyacrylate-13, Polyisobutene, Fragrance / Parfum, C12-20 Alkyl glucoside, Butylene glycol, Disodium EDTA, Ethylhexylglycerin, Polysorbate 20, Sorbitan isostearate, Dextrin, Theobroma cacao (cocoa) extract, Gossypium herbaceum (cotton) extract, Glucose, Tocopherol","All, Oily, Combination",23,"Block UV rays, Control oil and sebum",4.4,"2,633  ratings",https://www.amazon.com/COSRX-Sunscreen-Whitecast-Vitalizing-Protection/dp/B09ZY7468X
COSRX,AHA/BHA Clarifying Treatment Toner,Toner,"Water, Salix Alba (Willow) Bark Water, Pyrus Malus (Apple) Fruit Water, Butylene Glycol, 1,2-Hexanediol, Sodium Lactate, Glycolic Acid, Betaine Salicylate, Allantoin, Panthenol, Ethyl Hexanediol","Combination, Dry, Normal, Oily, Sensitive",20,Exfoliate surface of skin.Smoothe and softens.Clear congested pores .Balance oil production,4.6,"6,084 ratings",https://www.google.com/search?q=AHA%2FBHA+Clarifying+Treatment+Toner&sca_esv=a4c5c968ead58a07&sxsrf=ADLYWIJIHN4wMu39u4GyXSk90CWBTIG3-g%3A1737388165945&ei=hXCOZ728Oba8i-gP96DaqQg&ved=0ahUKEwj9kt-j04SLAxU23gIHHXeQNoUQ4dUDCA8&uact=5&oq=AHA%2FBHA+Clarifying+Treatment+Toner&gs_lp=Egxnd3Mtd2l6LXNlcnAiIkFIQS9CSEEgQ2xhcmlmeWluZyBUcmVhdG1lbnQgVG9uZXIyBxAjGCcY6gIyBxAjGCcY6gIyBxAjGCcY6gIyBxAjGCcY6gIyBxAjGCcY6gIyBxAjGCcY6gIyBxAjGCcY6gIyBxAjGCcY6gIyBxAjGCcY6gIyBxAjGCcY6gJI9ApQ1ARY1ARwAXgBkAEAmAEAoAEAqgEAuAEDyAEA-AEB-AECmAIBoAIKqAIKmAMK8QVDMHObfJ-CGpIHATGgBwA&sclient=gws-wiz-serp
COSRX,AC Collection Acne Patch,Acne / Pimple Patch,"Carboxymethylcellulose sodium, Polyisobutene, Rosin, Polybutene, Mineral oil, Centella Asiatica Extract, Polyuethane film",All,8,"Soothing and Calming the spot, Helping the acne disappear without a scar, Strong adhension to even curved area, like jawline and hairlines",4.5,"1,589 ratings",https://www.amazon.com/COSRX-Collection-Patch-Patches-Pouch/dp/B084L1KTFB
COSRX,Centella Water Alcohol-Free Toner,Toner,"Water, Centella Asiatica Leaf Water, Butylene Glycol , 1,2-Hexanediol, Betaine, Panthenol, Allantoin, Ethyl Hexanediol, Sodium Hyaluronate",Sensitive,16.99,"Supply minerals to the skin, Soothe sensitive skin ",4.6,"3,410 ratings",https://www.amazon.com/COSRX-Centella-Water-Alcohol-Free-Toner/dp/B00V4JQ7RG
COSRX,AC Collection Calming Foam Cleanser,Cleanser,"Water, Glycerin, Stearic Acid, Myristic Acid, PEG-32, Potassium Hydroxide, Palmitic Acid, Lauric Acid, Glyceryl Stearate, PEG-100 Stearate, Lauramide DEA, Cocamidopropyl Betaine, Potassium Cocoate, Salicylic Acid, Sodium Chloride, Arachidic Acid, Lavandula Hybrida Oil, Linalool, Disodium EDTA, Oleic Acid, Limonene, Asiaticoside, Asiatic Acid, Madecassic Acid","Oily, Combination, Acne Prone",15,"Remove Impurities, Control Excess Oil , Soothe & Heal, Exfoliate Rough Skin",4.6,543 ratings,https://www.amazon.com/COSRX-Collection-Calming-Cleanser-5-07fl-oz/dp/B07MBD3HFM
COSRX,Full Fit Propolis Honey Overnight Mask,Face Mask,"Propolis Extract, Butylene Glycol, Glycerin, Honey Extract, Royal Jelly Extract, 1,2-Hexanediol, Water, Betaine, Cassia Obtusifolia Seed Extract, Carbomer, Arginine, Ethylhexylglycerin, Polyglyceryl-10 Myristate, Polyglyceryl-10 Laurate, Xanthan Gum, Helianthus Annuus (Sunflower) Seed Oil, Sodium Polyacrylate, Panthenol, Allantoin, Adenosine, Sodium Hyaluronate, Beeswax",All,18,"Intensive hydration, Refreshing moisture, Cooling down sunburn or heated skin",4.5,411 ratings,https://www.amazon.com/COSRX-Propolis-Overnight-Extract-Cruelty/dp/B08N3ZGYS8
COSRX,Full Fit Propolis Synergy Toner,Toner,"Propolis Extract, Honey Extract, Butylene Glycol, 1,2-Hexanediol, Glycerin, Betaine, Cassia Obtusifolia Seed Extract, Panthenol, Polyglyceryl-10 Laurate, Polyglyceryl-10 Myristate, Ethylhexylglycerin, Sodium Hyaluronate, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Caprylic/Capric Triglyceride",All,29,"Nourish for healthy skin, Plump, glowing skin, Reduce redness, Improve skin texture",4.6,"2,170 ratings",https://www.amazon.com/COSRX-Propolis-Synergy-Korean-Paraben/dp/B089SCWPJR
