Brand,Product Name,Price,Product Rating,URL
Cosrx,Cosrx - Salicylic Acid Gentle Daily Cleanser/150Ml,"Rs.3,950",0.00,https://cozmetica.pk/products/cosrx-salicylic-acid-gentle-daily-cleanser-150ml?_pos=6&_sid=a7900c3d9&_ss=r
Cosrx,Cosrx - Propolis Honey Overnight Mask/60Ml,"Rs.5,528",0.00,https://cozmetica.pk/products/cosrx-propolis-honey-overnight-mask-60ml?_pos=7&_sid=a7900c3d9&_ss=r
Cosrx,Cosrx The Vitamin C 13 Serum/20Ml,"Rs.6,030",0.00,https://cozmetica.pk/products/cosrx-the-vitamin-c-13-serum-20ml?_pos=8&_sid=a7900c3d9&_ss=r
Cosrx,Cosrx - The Retinol 0.1 Cream/20Ml,"Rs.6,533",0.00,https://cozmetica.pk/products/cosrx-the-retinol-0-1-cream-20ml?_pos=9&_sid=a7900c3d9&_ss=r
Cosrx,Cosrx - Bha Blackhead Power Liquid/100Ml,"Rs.6,735",0.00,https://cozmetica.pk/products/cosrx-bha-blackhead-power-liquid-100ml?_pos=10&_sid=a7900c3d9&_ss=r
Cosrx,Cosrx - Refresh ABC Daily Toner (AHA BHA Vitamin C),"Rs.4,500",0.00,https://cozmetica.pk/products/cosrx-refresh-abc-daily-toner-aha-bha-vitamin-c?_pos=11&_sid=a7900c3d9&_ss=r
Cosrx,Cosrx Vitamin E Vitalizing Sunscreen Spf 50+/50Ml,"Rs.6,533",0.00,https://cozmetica.pk/products/cosrx-vitamin-e-vitalizing-sunscreen-spf-50-50ml?_pos=12&_sid=a7900c3d9&_ss=r
Cosrx,Cosrx Clear Fit Master Patch (18 Patches),"Rs.1,253",0.00,https://cozmetica.pk/products/cosrx-clear-fit-master-patch-18-patches?_pos=13&_sid=a7900c3d9&_ss=r
Cosrx,Cosrx The Vitamin C 23 Serum/20Gm,"Rs.5,750",0.00,https://cozmetica.pk/products/cosrx-the-vitamin-c-23-serum-20gm?_pos=14&_sid=a7900c3d9&_ss=r
Cosrx,Cosrx - Galactomyces 95 Tone Balancing Essence/100Ml,"Rs.6,630",0.00,https://cozmetica.pk/products/cosrx-galactomyces-95-tone-balancing-essence-100ml?_pos=15&_sid=a7900c3d9&_ss=r
The Ordinary,The Ordinary Niacinamide 10% + Zinc 1% Serum,"Rs.2,799",4.82,https://cozmetica.pk/products/the-ordinary-niacinamide-10-zinc-1-30ml?_pos=1&_sid=1bc1ab66a&_ss=r
The Ordinary,The Ordinary Salicylic Acid 2% Solution - 30ml,"Rs.3,749",4.75,https://cozmetica.pk/products/the-ordinary-salicylic-acid-2?_pos=2&_sid=1bc1ab66a&_ss=r
The Ordinary,The Ordinary Retinol 0.2% In Squalane - 30ml,"Rs.3,799",4.88,https://cozmetica.pk/products/the-ordinary-retinol-0-2-in-squalane-30ml?_pos=3&_sid=1bc1ab66a&_ss=r
The Ordinary,The Ordinary Retinol 1% In Squalane - 30ml,"Rs.3,999",4.83,https://cozmetica.pk/products/the-ordinary-retinol-1-in-squalane?_pos=4&_sid=1bc1ab66a&_ss=r
The Ordinary,The Ordinary Retinol 0.5% In Squalane - 30ml,"Rs.3,890",4.88,https://cozmetica.pk/products/the-ordinary-retinol-0-5-in-squalane?_pos=5&_sid=1bc1ab66a&_ss=r
